from_node_id,to_node_id,link_id,length,directed,name,zone_id,capacity_scaling_factor,area_type,lanes,raw_capacity,speed,ftype,capacity,GEOMETRYSO,GEOMETRY_1,GEOMETRY_2,GEOMETRY_3,TL23_2032,TRN_2023
2249,2130,2249_2130,0.21316,0,SR-23,840,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2249,2248,2249_2248,0.14388,0,W 2400 S,832,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2250,857,2250_857,0.54271,0,,836,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2250,1112,2250_1112,0.30854,0,SR-23,836,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2250,2130,2250_2130,0.39078,0,SR-23,836,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2251,853,2251_853,0.26519,0,,832,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2251,862,2251_862,0.8046,0,,841,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2251,2248,2251_2248,0.51021,0,S 5400 W,840,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2251,2504,2251_2504,0.873,0,S 5400 W,530,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2252,122,2252_122,0.12833,0,,122,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2252,1859,2252_1859,0.26203,0,400 W,749,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2252,1860,2252_1860,0.25467,0,400 W,749,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2253,2479,2253_2479,0.14355,0,200 S,611,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2253,2480,2253_2480,0.14685,0,N 200 E,604,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2253,2481,2253_2481,0.18731,0,200 S,612,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2254,1112,2254_1112,0.45498,0,SR-23,836,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2254,2164,2254_2164,0.57276,0,3400 S,870,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2254,2536,2254_2536,0.26825,0,SR-23,870,1,Rural,1,840,53,Minor Arterial,,1,1,1,1,0,0
2255,894,2255_894,0.53509,0,,873,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2255,2535,2255_2535,0.37145,0,3800 S,872,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2256,773,2256_773,0.24678,0,,752,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2256,774,2256_774,0.13257,0,,753,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2256,1861,2256_1861,0.24784,0,400 W,753,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2256,1864,2256_1864,0.23082,0,400 W,753,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2257,895,2257_895,0.70376,0,,874,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2257,896,2257_896,0.83156,0,,875,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2257,2259,2257_2259,0.2911,0,Center St,595,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2258,775,2258_775,0.25991,0,,754,1,Rural,7,10000,35,Centroid Connector,,1,1,1,1,0,0
2258,1855,2258_1855,0.36614,0,9000 N,754,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2258,1864,2258_1864,0.16516,0,9000 N,754,1,Rural,1,412,35,Local,,1,1,1,1,0,0
2259,1807,2259_1807,0.0861,0,SR-23,593,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,0,0
2259,2257,2259_2257,0.29068,0,Center St,595,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2259,2484,2259_2484,0.15122,0,SR-23,593,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,0,0
2260,1116,2260_1116,0.57974,0,N 200 E,597,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2260,1119,2260_1119,0.14609,0,Main Street,596,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,0,0
2260,1128,2260_1128,0.35234,0,Main Street,597,1,Urban,1,840,23,Minor Arterial,,1,1,1,1,0,0
2260,2480,2260_2480,0.14457,0,N 200 E,604,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2261,1832,2261_1832,0.21881,0,1200 WEST MILLER R,881,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2261,2707,2261_2707,0.13818,0,1200 WEST MILLER R,546,1,Urban,1,666,22,Major Collector,,1,1,1,1,0,0
2262,2451,2262_2451,0.20886,0,4400 S,885,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2262,2452,2262_2452,0.2762,0,Miller Rd,884,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2262,2454,2262_2454,0.2465,0,4400 S,884,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2263,2264,2263_2264,0.7274,0,Miller Rd,880,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2263,2567,2263_2567,0.079,0,1500 W,546,1,Urban,1,412,18,Local,,1,1,1,1,0,0
2264,2263,2264_2263,0.7274,0,Miller Rd,880,1,Urban,1,412,18,Local,,1,1,1,1,0,0
